Tree,Lat,Lat ',Long,Long '
Hancock40,37,26.713,115,22.954
Hancock41,37,26.709,115,22.961
Hancock42,37,26.694,115,22.958
Hancock43,37,26.687,115,22.955
Hancock44,37,26.630,115,22.948
Hancock45,37,26.654,115,22.939
Hancock46,37,26.659,115,22.923
Hancock47,37,26.659,115,22.923
Hancock48,37,26.659,115,22.923
Hancock49,37,26.656,115,22.917
Hancock5,37,26.850,115,23.117
Hancock50,37,26.654,115,22.916
Hancock51,37,26.654,115,22.916
Hancock52,37,26.654,115,22.916
Hancock6,37,26.850,115,23.117
Hancock7,37,26.843,115,23.116
Hancock8,37,26.836,115,23.112
Hancock9,37,26.818,115,23.112
HS0001,37,24.950,115,23.408
HS0002,37,24.944,115,23.430
HS0003,37,24.936,115,23.448
HS0004,37,24.961,115,23.432
HS0005,37,24.975,115,23.427
HS0006,37,24.944,115,23.382
HS0007,37,24.939,115,23.324
HS0008,37,24.958,115,23.336
HS0009,37,24.948,115,23.363
HS0010,37,25.957,115,23.366
HS0011,37,25.098,115,23.054
HS0012,37,25.098,115,23.065
HS0013,37,25.098,115,23.065
HS0014,37,25.098,115,23.065
HS0015,37,25.098,115,23.065
HS0016,37,25.098,115,23.065
HS0017,37,25.098,115,23.065
HS0018,37,25.098,115,23.065
HS0019,37,25.093,115,23.072
HS0020,37,25.084,115,23.069
HS0021,37,25.081,115,23.054
HS0022,37,25.081,115,23.054
HS0023,37,25.084,115,23.036
HS0024,37,25.089,115,23.042
HS0025,37,25.089,115,23.042
HS0026,37,25.089,115,23.042
HS0027,37,25.088,115,23.054
HS0028,37,25.094,115,23.044
HS0100,37,24.862,115,22.990
HS0101,37,24.870,115,22.998
HS0102,37,24.864,115,22.999
HS0103,37,24.871,115,23.000
HS0104,37,24.860,115,23.004
HS0105,37,24.873,115,23.008
HS0106,37,24.860,115,23.004
HS0107,37,24.868,115,23.007
HS0108,37,24.861,115,22.989
HS0109,37,24.875,115,23.020
HS0110,37,24.854,115,22.998
HS0111,37,24.875,115,23.020
HS0112,37,24.852,115,22.987
HS0113,37,24.875,115,23.020
HS0114,37,24.850,115,22.987
HS0115,37,24.875,115,23.020
HS0116,37,24.846,115,22.990
HS0117,37,24.875,115,23.020
HS0118,37,24.846,115,22.990
HS0119,37,24.868,115,23.015
HS0120,37,24.846,115,22.990
HS0121,37,24.867,115,23.022
HS0122,37,24.846,115,22.990
HS0123,37,24.863,115,23.025
HS0124,37,24.845,115,22.993
HS0125,37,24.856,115,23.019
HS0126,37,24.846,115,22.996
HS0127,37,24.876,115,23.031
HS0128,37,24.859,115,23.009
HS0129,37,24.876,115,23.033
HS0130,37,24.859,115,23.009
HS0131,37,24.874,115,23.031
HS0132,37,24.859,115,23.009
HS0133,37,24.872,115,23.034
HS0134,37,24.854,115,23.012
HS0135,37,24.874,115,23.037
HS0136,37,24.856,115,23.012
HS0137,37,24.874,115,23.046
HS0138,37,24.853,115,23.019
HS0139,37,24.874,115,23.047
HS0140,37,24.848,115,23.022
HS0141,37,24.871,115,23.047
HS0142,37,24.850,115,23.025
HS0143,37,24.865,115,23.053
HS0144,37,24.848,115,23.026
HS0145,37,24.858,115,23.048
HS0146,37,24.841,115,23.019
HS0147,37,24.860,115,23.042
HS0148,37,24.831,115,23.012
HS0149,37,24.861,115,23.042
HS0150,37,24.829,115,23.017
HS0151,37,24.860,115,23.033
HS0152,37,24.829,115,23.019
HS0153,37,24.860,115,23.031
HS0154,37,24.840,115,23.031
HS0155,37,24.856,115,23.028
HS0156,37,24.839,115,23.046
HS0157,37,24.855,115,23.023
HS0158,37,24.845,115,23.051
HS0159,37,24.852,115,23.031
HS0160,37,24.848,115,23.053
HS0161,37,24.849,115,23.036
HS0162,37,24.850,115,23.054
HS0163,37,24.843,115,23.213
HS0164,37,24.852,115,23.043
HS0165,37,24.838,115,23.208
HS0167,37,24.866,115,23.217
HS0168,37,24.840,115,23.194
HS0169,37,24.862,115,23.217
HS0170,37,24.831,115,23.197
HS0171,37,24.858,115,23.218
