numb,Tree,missing,Pop,%Brev_Run1,%Brev_Run2,%Brev Ave
173,TVSt017,-10,2,0.997,0.996,0.9965
174,TVSt019,-30,2,0.996,0.996,0.996
175,TVSt020,-20,2,0.996,0.996,0.996
176,TVSt0200,0,2,0.996,0.996,0.996
177,TVSt0201,-10,2,0.996,0.996,0.996
178,TVSt0202,0,2,0.995,0.995,0.995
179,TVSt0203,0,2,0.995,0.995,0.995
180,TVSt0204,0,2,0.997,0.997,0.997
181,TVSt0206,0,2,0.997,0.997,0.997
182,TVSt0207,0,2,0.995,0.995,0.995
183,TVSt0208,-5,2,0.997,0.997,0.997
184,TVSt0209,0,2,0.997,0.997,0.997
185,TVSt021,0,2,0.997,0.997,0.997
186,TVSt0210,0,2,0.995,0.995,0.995
187,TVSt0211,-10,2,0.997,0.996,0.9965
188,TVSt022,0,2,0.995,0.995,0.995
189,TVSt023,-10,2,0.996,0.996,0.996
190,TVSt03,0,2,0.995,0.995,0.995
191,TVSt05,0,2,0.997,0.997,0.997
192,TVSt06,0,2,0.996,0.996,0.996
193,TVSt074,0,2,0.997,0.997,0.997
194,TVSt075,-10,2,0.998,0.997,0.9975
195,TVSt076,-10,2,0.997,0.997,0.997
196,TVSt077,-10,2,0.986,0.989,0.9875
197,TVSt078,-10,2,0.995,0.995,0.995
198,TVSt079,-10,2,0.994,0.994,0.994
199,TVSt08,-10,2,0.994,0.994,0.994
200,TVSt080,0,2,0.996,0.996,0.996
201,TVSt09,0,2,0.993,0.994,0.9935
202,TVSt10,0,2,0.97,0.976,0.973
203,TVSt11,-10,2,0.997,0.997,0.997
204,TVSt12,0,2,0.958,0.967,0.9625
205,TVSt13,-20,2,0.995,0.995,0.995
